        PosP R         PosP T         PosP N         VelP R         VelP T         VelP N        X E Cov        Y E Cov 
     1.3002224     -0.6150310     -2.0412473      0.7134628     -0.6447950      1.7779997      3.1244814      2.8812302 
     1.3002224     -0.6150310     -2.0412473     -0.4908332     -0.6165948     -1.8006490      3.8462232      2.5218831 
     1.3002224     -0.6150310     -2.0412473     -0.2753271     -1.3112791     -0.8719346      3.6002317      2.6068666 
     1.3002224     -0.6150310     -2.0412473     -1.7535122     -0.9951136      0.4461683      3.3806701      2.7093579 
     1.3002224     -0.6150310     -2.0412473      0.1688645     -0.1313468      0.4787412      3.3598549      2.7208466 
     1.3002224     -0.6150310     -2.0412473     -2.1346639     -0.9254448     -0.2757059      3.5347785      2.6342563 
     1.3002224     -0.6150310     -2.0412473     -0.5494854      0.3916773     -0.7968868      3.6363564      2.5927203 
     1.3002224     -0.6150310     -2.0412473      1.6328383      0.0960039     -1.9112228      3.8174681      2.5305815 
     1.3002224     -0.6150310     -2.0412473     -0.8381415      1.6797371      0.5187264      3.4332485      2.6818647 
     1.3002224     -0.6150310     -2.0412473      0.7139483     -0.4148903      0.7066644      3.2987388      2.7567667 
     1.3002224     -0.6150310     -2.0412473      0.5703884      2.4781987      1.2686047      3.3128181      2.7481874 
     1.3002224     -0.6150310     -2.0412473      0.0867575     -0.3487842     -0.8884900      3.6196593      2.5991775 
     1.3002224     -0.6150310     -2.0412473      0.0380655     -1.0856448      0.9423098      3.2487884      2.7888062 
     1.3002224     -0.6150310     -2.0412473     -1.2834847     -0.5324218      0.9842130      3.2922983      2.7607552 
     1.3002224     -0.6150310     -2.0412473      0.0650910      1.2991404     -1.0715005      3.6973610      2.5702478 
     1.3002224     -0.6150310     -2.0412473      0.0717370     -1.3309081      1.0621692      3.2184196      2.8096031 
     1.3002224     -0.6150310     -2.0412473      0.1745639      3.1821597     -0.3928474      3.6052154      2.6048757 
     1.3002224     -0.6150310     -2.0412473     -0.1105937      0.6583611      1.5454134      3.2245132      2.8053454 
     1.3002224     -0.6150310     -2.0412473      0.1412339      0.5602352      1.2125177      3.2656316      2.7777127 
     1.3002224     -0.6150310     -2.0412473      0.7943790     -0.1439475      2.9027083      2.9970036      3.0006131 
     1.3002224     -0.6150310     -2.0412473      0.9230881     -0.8843058     -2.4296483      3.9630438      2.4892858 
     1.3002224     -0.6150310     -2.0412473      1.1520734     -0.6435980     -1.5388740      3.7286996      2.5593439 
     1.3002224     -0.6150310     -2.0412473     -0.2348030     -0.0356129      2.1660466      3.1130563      2.8907873 
     1.3002224     -0.6150310     -2.0412473     -1.3625494      0.8608131      1.6589612      3.2395846      2.7949988 
     1.3002224     -0.6150310     -2.0412473     -0.1481382      0.2978356     -0.5584495      3.5744035      2.6173934 
     1.3002224     -0.6150310     -2.0412473      0.4250343      0.0260105     -1.6112315      3.7816386      2.5418309 
     1.3002224     -0.6150310     -2.0412473      1.9409657     -1.2394492      0.3307380      3.3040807      2.7534892 
     1.3002224     -0.6150310     -2.0412473      0.1906322      1.5465096      0.5832190      3.3964240      2.7008967 
     1.3002224     -0.6150310     -2.0412473      0.4798047      1.1651347      1.2347730      3.2766325      2.7706292 
     1.3002224     -0.6150310     -2.0412473      0.4435985     -0.7013654     -0.6233853      3.5437652      2.6303534 
     1.3002224     -0.6150310     -2.0412473     -1.4031887     -0.2090938      1.0349707      3.2984446      2.7569480 
     1.3002224     -0.6150310     -2.0412473      0.6454351      1.2318827     -1.0001307      3.6657336      2.5816851 
     1.3002224     -0.6150310     -2.0412473      1.2154587     -0.0717254     -0.1481820      3.4496492      2.6737085 
     1.3002224     -0.6150310     -2.0412473      0.1485808      0.9183272     -1.5974178      3.8023935      2.5352575 
     1.3002224     -0.6150310     -2.0412473      0.8503991      0.1536375      0.1482591      3.4116626      2.6928971 
     1.3002224     -0.6150310     -2.0412473      0.5637547      2.0569302      1.0282174      3.3350868      2.7349968 
     1.3002224     -0.6150310     -2.0412473     -0.2511046     -0.6176727      0.7563798      3.3043744      2.7533098 
     1.3002224     -0.6150310     -2.0412473     -0.6505808      1.0344066     -0.4143233      3.5781686      2.6158366 
     1.3002224     -0.6150310     -2.0412473      0.4185372     -0.4163319     -2.8258779      4.0990608      2.4561282 
     1.3002224     -0.6150310     -2.0412473     -0.8805144      0.8173558      1.0344576      3.3233132      2.7419140 
     1.3002224     -0.6150310     -2.0412473     -1.3432902      0.6275275     -0.2617543      3.5554625      2.6253431 
    -1.7786085     -0.3186582      0.4736361     -0.2697468      1.7401177      0.7428748      2.0818841      2.4862515 
    -1.7786085     -0.3186582      0.4736361      0.3122645      1.0707520     -0.0940861      2.1459242      2.3823182 
    -1.7786085     -0.3186582      0.4736361     -0.7626383      0.9556161      1.1556141      2.0561784      2.5350816 
    -1.7786085     -0.3186582      0.4736361     -1.2403553      1.3051345      2.1248312      1.9955122      2.6718616 
    -1.7786085     -0.3186582      0.4736361      0.4650196      0.4329045      1.4884300      2.0382523      2.5720690 
    -1.7786085     -0.3186582      0.4736361     -0.0570234     -0.4124871      0.2012705      2.1337824      2.4003352 
    -1.7786085     -0.3186582      0.4736361     -0.9483128     -1.1361858      0.5735687      2.1064755      2.4436168 
    -1.7786085     -0.3186582      0.4736361     -0.7276903     -0.5385989     -0.5658896      2.1975127      2.3130344 
    -1.7786085     -0.3186582      0.4736361     -0.4538511      0.5040608     -1.0181424      2.2240228      2.2814100 
    -1.7786085     -0.3186582      0.4736361      0.5075865      0.9643706     -2.6888306      2.3738644      2.1397527 
    -1.7786085     -0.3186582      0.4736361     -0.4353617      0.3708653     -1.0213981      2.2262189      2.2788974 
    -1.7786085     -0.3186582      0.4736361     -0.1549746      1.0584077     -1.8669112      2.2911301      2.2111274 
    -1.7786085     -0.3186582      0.4736361     -1.4835649      0.3714950     -0.7886224      2.2029630      2.3063308 
    -1.7786085     -0.3186582      0.4736361     -0.1186653     -0.3797580      3.0564587      1.9406586      2.8310231 
    -1.7786085     -0.3186582      0.4736361      0.6131484      1.3089935      2.0364415      2.0043235      2.6497977 
    -1.7786085     -0.3186582      0.4736361     -0.5060998     -0.2681431      1.5545776      2.0325402      2.5844131 
    -1.7786085     -0.3186582      0.4736361     -0.0708575      0.4169852     -0.2606735      2.1634423      2.3575341 
    -1.7786085     -0.3186582      0.4736361      1.6988659     -1.3155329      1.4944459      2.0437769      2.5603931 
    -1.7786085     -0.3186582      0.4736361      0.0808478     -0.9884230     -1.4179509      2.2884417      2.2137058 
    -1.7786085     -0.3186582      0.4736361      0.1111379      0.0866533      1.5665786      2.0327637      2.5839248 
    -1.7786085     -0.3186582      0.4736361      0.2907973     -0.0877765     -0.7423335      2.2104913      2.2972466 
    -1.7786085     -0.3186582      0.4736361     -1.3736164     -0.3149914      0.0516799      2.1411760      2.3892792 
    -1.7786085     -0.3186582      0.4736361     -1.3564792     -0.3101441      2.2935804      1.9831896      2.7041827 
    -1.7786085     -0.3186582      0.4736361      0.2374060     -0.0175563      1.4066434      2.0438965      2.5601432 
    -1.7786085     -0.3186582      0.4736361     -1.8420513     -1.0042891     -2.4335098      2.3901945      2.1272766 
    -1.7786085     -0.3186582      0.4736361      1.7722715     -1.2412327     -0.3063707      2.1913499      2.3207465 
    -1.7786085     -0.3186582      0.4736361      0.4002092      0.0464716      1.0061690      2.0718371      2.5047839 
    -1.7786085     -0.3186582      0.4736361      0.3311030      0.1533182     -1.7908551      2.3031606      2.1998070 
    -1.7786085     -0.3186582      0.4736361      0.4644497      1.3244043      0.1911994      2.1235899      2.4160262 
    -1.7786085     -0.3186582      0.4736361     -0.4172209     -0.0694020      1.0495187      2.0671267      2.5137115 
    -1.7786085     -0.3186582      0.4736361     -0.1667615      1.0145148     -1.4071743      2.2510852      2.2515064 
    -1.7786085     -0.3186582      0.4736361     -0.0239310      0.1047182      0.9012538      2.0780006      2.4933341 
    -1.7786085     -0.3186582      0.4736361     -1.8144229      0.3981047      0.9430387      2.0695682      2.5090647 
    -1.7786085     -0.3186582      0.4736361      1.2201245     -0.6383207      0.5625904      2.1103875      2.4371672 
    -1.7786085     -0.3186582      0.4736361     -0.7814302     -0.9597891     -1.2299996      2.2658001      2.2361622 
    -1.7786085     -0.3186582      0.4736361     -0.3810850     -0.3567030      0.2033539      2.1322473      2.4026647 
    -1.7786085     -0.3186582      0.4736361      0.3492262      0.2325133      1.5052410      2.0371692      2.5743881 
    -1.7786085     -0.3186582      0.4736361     -1.3860063     -1.3994367      1.1188753      2.0639335      2.5198536 
    -1.7786085     -0.3186582      0.4736361      1.0007892     -0.9560077     -0.7205934      2.2231342      2.2824311 
    -1.7786085     -0.3186582      0.4736361      2.1481327     -2.0398905      0.3566910      2.1412590      2.3891565 
    -1.7786085     -0.3186582      0.4736361      0.6280798     -1.3061441      1.0890727      2.0713037      2.5057870 
    -1.7786085     -0.3186582      0.4736361     -0.9492429      1.1160621      0.7924408      2.0793627      2.4908387 
    -1.7786085     -0.3186582      0.4736361     -0.9252801     -1.0343318      1.8913195      2.0092572      2.6378030 
    -1.7786085     -0.3186582      0.4736361      1.0770867     -0.2668660     -2.4660094      2.3853119      2.1309573 
    -1.7786085     -0.3186582      0.4736361      0.5726008     -0.1281972     -0.1539887      2.1619509      2.3595908 
    -1.7786085     -0.3186582      0.4736361     -0.1060482      0.0393042      1.5990002      2.0301810      2.5895944 
    -1.7786085     -0.3186582      0.4736361     -0.8126422     -0.1986591      0.0425682      2.1425677      2.3872277 
    -1.7786085     -0.3186582      0.4736361     -0.1583439      0.7024726      1.0206828      2.0672751      2.5134279 
    -1.7786085     -0.3186582      0.4736361     -0.4936591      0.9723109     -0.0805953      2.1435016      2.3858564 
    -1.7786085     -0.3186582      0.4736361      0.7137471      1.1765634      1.2869285      2.0505332      2.5464531 
    -1.7786085     -0.3186582      0.4736361     -1.9109272      0.3325995      0.4189255      2.1069419      2.4428432 
    -1.7786085     -0.3186582      0.4736361     -1.1665296      0.7265901      0.7027454      2.0865590      2.4778566 
    -1.7786085     -0.3186582      0.4736361      0.3063018      0.8695428     -0.0904087      2.1472605      2.3803783 
    -1.7786085     -0.3186582      0.4736361     -0.5088718      0.5297325     -0.5398119      2.1834923      2.3307887 
    -1.7786085     -0.3186582      0.4736361      1.4038577     -0.0653253     -1.6644592      2.2992501      2.2034482 
    -1.7786085     -0.3186582      0.4736361      0.3586259      1.0264729      2.2337828      1.9921071      2.6806176 
    -1.7786085     -0.3186582      0.4736361     -0.5620077     -0.0552670      1.9296960      2.0078294      2.6412484 
    -1.7786085     -0.3186582      0.4736361     -0.3442291     -0.7575190      0.8444031      2.0850097      2.4806232 
    -1.7786085     -0.3186582      0.4736361      0.1137190      1.4886467      0.1404081      2.1252451      2.4134417 
    -1.7786085     -0.3186582      0.4736361      0.7134628     -0.6447950      1.7779997      2.0206633      2.6110079 
    -1.7786085     -0.3186582      0.4736361     -0.4908332     -0.6165948     -1.8006490      2.3174024      2.1868494 
    -1.7786085     -0.3186582      0.4736361     -0.2753271     -1.3112791     -0.8719346      2.2386635      2.2649510 
    -1.7786085     -0.3186582      0.4736361     -1.7535122     -0.9951136      0.4461683      2.1134731      2.4321407 
    -1.7786085     -0.3186582      0.4736361      0.1688645     -0.1313468      0.4787412      2.1107946      2.4365009 
    -1.7786085     -0.3186582      0.4736361     -2.1346639     -0.9254448     -0.2757059      2.1720961      2.3457870 
    -1.7786085     -0.3186582      0.4736361     -0.5494854      0.3916773     -0.7968868      2.2063220      2.3022528 
    -1.7786085     -0.3186582      0.4736361      1.6328383      0.0960039     -1.9112228      2.3210005      2.1836490 
    -1.7786085     -0.3186582      0.4736361     -0.8381415      1.6797371      0.5187264      2.0956708      2.4618929 
    -1.7786085     -0.3186582      0.4736361      0.7139483     -0.4148903      0.7066644      2.0965979      2.4602975 
    -1.7786085     -0.3186582      0.4736361      0.5703884      2.4781987      1.2686047      2.0487910      2.5500129 
    -1.7786085     -0.3186582      0.4736361      0.0867575     -0.3487842     -0.8884900      2.2264801      2.2785996 
    -1.7786085     -0.3186582      0.4736361      0.0380655     -1.0856448      0.9423098      2.0800526      2.4895793 
    -1.7786085     -0.3186582      0.4736361     -1.2834847     -0.5324218      0.9842130      2.0712138      2.5059563 
    -1.7786085     -0.3186582      0.4736361      0.0650910      1.2991404     -1.0715005      2.2195165      2.2866154 
    -1.7786085     -0.3186582      0.4736361      0.0717370     -1.3309081      1.0621692      2.0719535      2.5045653 
    -1.7786085     -0.3186582      0.4736361      0.1745639      3.1821597     -0.3928474      2.1505259      2.3756731 
    -1.7786085     -0.3186582      0.4736361     -0.1105937      0.6583611      1.5454134      2.0329859      2.5834397 
    -1.7786085     -0.3186582      0.4736361      0.1412339      0.5602352      1.2125177      2.0554852      2.5364647 
    -1.7786085     -0.3186582      0.4736361      0.7943790     -0.1439475      2.9027083      1.9519421      2.7948074 
    -1.7786085     -0.3186582      0.4736361      0.9230881     -0.8843058     -2.4296483      2.3984007      2.1211833 
    -1.7786085     -0.3186582      0.4736361      1.1520734     -0.6435980     -1.5388740      2.2976900      2.2049111 
    -1.7786085     -0.3186582      0.4736361     -0.2348030     -0.0356129      2.1660466      1.9937673      2.6763321 
    -1.7786085     -0.3186582      0.4736361     -1.3625494      0.8608131      1.6589612      2.0229390      2.6058118 
    -1.7786085     -0.3186582      0.4736361     -0.1481382      0.2978356     -0.5584495      2.1886913      2.3241176 
    -1.7786085     -0.3186582      0.4736361      0.4250343      0.0260105     -1.6112315      2.2887202      2.2134378 
    -1.7786085     -0.3186582      0.4736361      1.9409657     -1.2394492      0.3307380      2.1357907      2.3973055 
    -1.7786085     -0.3186582      0.4736361      0.1906322      1.5465096      0.5832190      2.0944136      2.4640649 
    -1.7786085     -0.3186582      0.4736361      0.4798047      1.1651347      1.2347730      2.0533820      2.5406839 
    -1.7786085     -0.3186582      0.4736361      0.4435985     -0.7013654     -0.6233853      2.2086451      2.2994558 
    -1.7786085     -0.3186582      0.4736361     -1.4031887     -0.2090938      1.0349707      2.0661471      2.5155881 
    -1.7786085     -0.3186582      0.4736361      0.6454351      1.2318827     -1.0001307      2.2162924      2.2903814 
    -1.7786085     -0.3186582      0.4736361      1.2154587     -0.0717254     -0.1481820      2.1628482      2.3583522 
