        PosP R         PosP T         PosP N         VelP R         VelP T         VelP N        X S Cov        Y S Cov 
     0.2867629     -0.8583538     -0.0113182      0.2592277      0.7178069     -0.2087320      2.6974885      2.7901716 
     0.2867629     -0.8583538     -0.0113182     -0.0232365     -0.5044732      1.0156192      2.5715329      2.9687066 
     0.2867629     -0.8583538     -0.0113182     -0.9293900      0.1105930      0.3952168      2.6351988      2.8711352 
     0.2867629     -0.8583538     -0.0113182     -0.7448552      1.8685019      0.3058519      2.6396390      2.8649317 
     0.2867629     -0.8583538     -0.0113182      0.3483174      0.2535717     -0.3631448      2.7182188      2.7658524 
     0.2867629     -0.8583538     -0.0113182      0.5057944     -0.6278993      1.4056804      2.5326312      3.0375667 
     0.2867629     -0.8583538     -0.0113182     -0.6408727     -0.9839714     -0.5367662      2.7508444      2.7298848 
     0.2867629     -0.8583538     -0.0113182      0.8970849     -0.1455912      0.1118066      2.6669509      2.8282890 
     0.2867629     -0.8583538     -0.0113182      0.9451185     -0.2997725     -1.4369510      2.8615174      2.6254164 
     0.2867629     -0.8583538     -0.0113182     -0.1331219      1.0242017      0.9266828      2.5817074      2.9519419 
     0.2867629     -0.8583538     -0.0113182      0.8174463      0.8573959      1.4086056      2.5373542      3.0287765 
     0.2867629     -0.8583538     -0.0113182      0.8782050      0.0941546      0.4871014      2.6256146      2.8847734 
     0.2867629     -0.8583538     -0.0113182      0.8448328     -1.3429948     -0.9991547      2.8189844      2.6626981 
     0.2867629     -0.8583538     -0.0113182     -0.0258524      0.6403635     -0.4360251      2.7233281      2.7600391 
     0.2867629     -0.8583538     -0.0113182     -1.5273501     -0.2227481      2.3968547      2.4474160      3.2211348 
     0.2867629     -0.8583538     -0.0113182     -0.1668241     -0.8164253      1.6793491      2.5059168      3.0897611 
     0.2867629     -0.8583538     -0.0113182      0.4505400     -1.1780823      0.5578040      2.6203507      2.8924118 
     0.2867629     -0.8583538     -0.0113182     -0.8240154      2.0760143      1.9361847      2.4986526      3.1047276 
     0.2867629     -0.8583538     -0.0113182     -1.5961726      1.2019959     -2.0109916      2.9070640      2.5888684 
     0.2867629     -0.8583538     -0.0113182     -0.8808873      0.3061958     -1.6392553      2.8762235      2.6132557 
     0.2867629     -0.8583538     -0.0113182     -1.0392643     -0.4799374      0.2394238      2.6539864      2.8453655 
     0.2867629     -0.8583538     -0.0113182     -0.1234110      0.4426161     -0.5133670      2.7338658      2.7482654 
     0.2867629     -0.8583538     -0.0113182      0.2672326     -1.0186431     -0.6022206      2.7600421      2.7202187 
     0.2867629     -0.8583538     -0.0113182      0.0912186     -1.5612005      0.7819728      2.5956185      2.9297817 
     0.2867629     -0.8583538     -0.0113182     -0.1377090     -0.0694726     -0.4557824      2.7317362      2.7506218 
     0.2867629     -0.8583538     -0.0113182     -0.8034323      0.9334877     -3.1433092      3.0763533      2.4771617 
     0.2867629     -0.8583538     -0.0113182     -0.3222884     -0.6996656     -0.4598172      2.7381923      2.7435138 
     0.2867629     -0.8583538     -0.0113182      0.5756081     -1.2863768     -0.0954807      2.6981037      2.7894325 
     0.2867629     -0.8583538     -0.0113182     -1.6616782      0.9889875      1.0095652      2.5741361      2.9643711 
     0.2867629     -0.8583538     -0.0113182      0.8896035     -0.3872562     -0.0801471      2.6901592      2.7990624 
     0.2867629     -0.8583538     -0.0113182     -1.6967049      1.9193947     -0.5027443      2.7202770      2.7635023 
     0.2867629     -0.8583538     -0.0113182     -1.2368630     -0.4537335      0.9706431      2.5762786      2.9608268 
     0.2867629     -0.8583538     -0.0113182      1.7939583      1.3699706     -0.3853285      2.7125139      2.7724262 
     0.2867629     -0.8583538     -0.0113182      2.9613699     -0.4042389      0.1779573      2.6608878      2.8362057 
     0.2867629     -0.8583538     -0.0113182     -0.9709490      2.1320003      1.7354257      2.5147854      3.0719505 
     0.2867629     -0.8583538     -0.0113182      2.2208036     -0.1144652     -1.8355022      2.9147626      2.5830042 
     0.2867629     -0.8583538     -0.0113182      0.2971873     -1.3162748     -1.2017624      2.8472910      2.6375271 
     0.2867629     -0.8583538     -0.0113182     -0.3482212      0.8150987     -1.4795772      2.8464187      2.6382811 
     0.2867629     -0.8583538     -0.0113182      0.0934098      0.6399516      0.2870786      2.6450166      2.8575134 
     0.2867629     -0.8583538     -0.0113182      0.8252252     -2.1705515      0.2093586      2.6654093      2.8302905 
     0.2867629     -0.8583538     -0.0113182     -0.8913489     -0.1577608     -1.6046175      2.8807598      2.6095757 
     0.2867629     -0.8583538     -0.0113182      2.1611634     -0.4009651      1.6170889      2.5132082      3.0750817 
    -0.3957560      1.9782728     -0.2861360     -0.9017423      0.7625437     -1.0134157      2.7453832      2.4328386 
    -0.3957560      1.9782728     -0.2861360     -0.7144279      0.2609359      1.7597763      2.4859240      2.6995090 
    -0.3957560      1.9782728     -0.2861360      0.7336281     -0.7238736     -0.9524260      2.7444557      2.4335421 
    -0.3957560      1.9782728     -0.2861360     -0.3774333      0.1788057     -1.3641180      2.7873430      2.4023409 
    -0.3957560      1.9782728     -0.2861360      0.0764847     -0.7311128      0.0922180      2.6333800      2.5285686 
    -0.3957560      1.9782728     -0.2861360      0.1277367     -0.6869018      0.3085786      2.6115542      2.5501464 
    -0.3957560      1.9782728     -0.2861360      1.6222729     -0.3782165     -3.1036174      3.0104871      2.2746052 
    -0.3957560      1.9782728     -0.2861360     -0.5604022      0.9914590     -0.5960507      2.6999722      2.4689085 
    -0.3957560      1.9782728     -0.2861360     -0.1078823      0.3836573     -0.6315848      2.7052317      2.4645538 
    -0.3957560      1.9782728     -0.2861360      1.3859695      0.6237200     -2.1690831      2.8709173      2.3484643 
    -0.3957560      1.9782728     -0.2861360     -0.2564538     -0.9402704     -2.3845876      2.9304996      2.3147651 
    -0.3957560      1.9782728     -0.2861360     -0.6280603      0.5037364      0.0099545      2.6415451      2.5207700 
    -0.3957560      1.9782728     -0.2861360     -0.0061508      0.7662335      0.0601554      2.6352632      2.5267570 
    -0.3957560      1.9782728     -0.2861360     -1.7794680      0.1889974      1.5000370      2.5080672      2.6695465 
    -0.3957560      1.9782728     -0.2861360     -0.0858940     -0.0858739     -1.9806662      2.8629695      2.3532358 
    -0.3957560      1.9782728     -0.2861360     -1.6638093      1.9464579      0.6429780      2.5859357      2.5769242 
    -0.3957560      1.9782728     -0.2861360      1.5644337     -1.1434567     -0.8092336      2.7286129      2.4457660 
    -0.3957560      1.9782728     -0.2861360      0.2504874     -0.0197330     -1.9360785      2.8553634      2.3578673 
    -0.3957560      1.9782728     -0.2861360     -1.8323521      1.1467287      1.7538432      2.4924577      2.6904796 
    -0.3957560      1.9782728     -0.2861360     -0.9432815      0.1453613      2.9585429      2.3942006      2.8459629 
    -0.3957560      1.9782728     -0.2861360     -1.4198507     -0.4350336      1.7148465      2.4862005      2.6991236 
    -0.3957560      1.9782728     -0.2861360     -0.6664507      0.1018116      2.0166751      2.4643341      2.7305376 
    -0.3957560      1.9782728     -0.2861360      1.0929001     -0.2317698      2.9170102      2.3926205      2.8488600 
    -0.3957560      1.9782728     -0.2861360      0.6586375     -0.2929351      0.5833268      2.5845189      2.5784536 
    -0.3957560      1.9782728     -0.2861360      1.6723824     -1.0549887      0.5241480      2.5873713      2.5753799 
    -0.3957560      1.9782728     -0.2861360      0.2292755     -0.4090800     -2.8163581      2.9773388      2.2906025 
    -0.3957560      1.9782728     -0.2861360      0.5452649      0.5728002      3.1513807      2.3841231      2.8646945 
    -0.3957560      1.9782728     -0.2861360     -0.1201551     -0.7987064      1.0927995      2.5372520      2.6326618 
    -0.3957560      1.9782728     -0.2861360      0.1145296     -0.8699896     -1.5804590      2.8226281      2.3785589 
    -0.3957560      1.9782728     -0.2861360      0.7432786      0.0882455     -1.7320694      2.8276943      2.3752735 
    -0.3957560      1.9782728     -0.2861360      0.2579509      1.0795842     -0.0474700      2.6445644      2.5179227 
    -0.3957560      1.9782728     -0.2861360     -1.7433007      2.9598973      0.7699424      2.5770193      2.5866369 
    -0.3957560      1.9782728     -0.2861360      1.9552282     -1.3469840     -3.0979760      3.0323152      2.2645306 
    -0.3957560      1.9782728     -0.2861360     -1.2606996      0.0466199     -1.0809300      2.7588890      2.4227427 
    -0.3957560      1.9782728     -0.2861360     -0.5269255     -1.3684453      1.5251546      2.4960634      2.6855654 
    -0.3957560      1.9782728     -0.2861360     -2.6746107      1.4659051      0.4728812      2.6018575      2.5600908 
    -0.3957560      1.9782728     -0.2861360     -0.6299785      0.4210299      1.4601379      2.5112288      2.6654126 
